osm_id,name,operator,geojson
4889025284,丰潭路南口BRT,,"{""type"":""Point"",""coordinates"":[120.106994334256,30.2725321263452]}"
1667043878,古荡新村西,,"{""type"":""Point"",""coordinates"":[120.107613632813,30.2782770501705]}"
5029977548,玉古路求是路口,,"{""type"":""Point"",""coordinates"":[120.123256086687,30.2686754562825]}"
5029977549,玉古路求是路口,,"{""type"":""Point"",""coordinates"":[120.123674791441,30.2690792849027]}"
5029977546,玉古路天目山路口,,"{""type"":""Point"",""coordinates"":[120.124362900949,30.2712113638607]}"
5025607875,古荡,,"{""type"":""Point"",""coordinates"":[120.118444440531,30.2742951582992]}"
5025607874,古荡,,"{""type"":""Point"",""coordinates"":[120.118724265742,30.2744711106415]}"
5025607873,古荡东,,"{""type"":""Point"",""coordinates"":[120.121333781811,30.2739797156122]}"
5025607872,古荡东,,"{""type"":""Point"",""coordinates"":[120.12133198518,30.2743314659512]}"
5029977553,东山弄,,"{""type"":""Point"",""coordinates"":[120.124593588314,30.2622322061064]}"
5029977557,浙大附中,,"{""type"":""Point"",""coordinates"":[120.127175436272,30.2631583935735]}"
5029977556,浙大附中,,"{""type"":""Point"",""coordinates"":[120.127606447945,30.2633058130732]}"
5029977555,求是路,,"{""type"":""Point"",""coordinates"":[120.124699679349,30.2667504782362]}"
5029977558,黄龙体育中心,,"{""type"":""Point"",""coordinates"":[120.132432467146,30.2673164696125]}"
5037002590,,,"{""type"":""Point"",""coordinates"":[120.134359802588,30.2671607544215]}"
5029977547,玉古路天目山路口,,"{""type"":""Point"",""coordinates"":[120.124726718639,30.2715102903374]}"
5029977559,黄龙体育中心,,"{""type"":""Point"",""coordinates"":[120.132363117206,30.2683603058768]}"
5029977560,黄龙体育中心,,"{""type"":""Point"",""coordinates"":[120.13191728333,30.2693585114441]}"
5037002589,,,"{""type"":""Point"",""coordinates"":[120.134563001505,30.2674153916909]}"
5029977562,跑马场,,"{""type"":""Point"",""coordinates"":[120.131752172981,30.2719907586273]}"
5029977561,跑马场,,"{""type"":""Point"",""coordinates"":[120.132138538385,30.2719508813228]}"
5025607871,天目山路学院路口,,"{""type"":""Point"",""coordinates"":[120.124693930131,30.2737320000712]}"
5025607870,天目山路学院路口,,"{""type"":""Point"",""coordinates"":[120.125036008591,30.2741022930679]}"
5025607868,庆丰村西,,"{""type"":""Point"",""coordinates"":[120.129482579416,30.2733708602593]}"
5025607869,庆丰村西,,"{""type"":""Point"",""coordinates"":[120.130574661307,30.2736582981767]}"
5025607866,庆丰村,,"{""type"":""Point"",""coordinates"":[120.133384771179,30.2732946754934]}"
5025607867,庆丰村,,"{""type"":""Point"",""coordinates"":[120.132763765823,30.2737403788094]}"
5029977563,庆丰村,,"{""type"":""Point"",""coordinates"":[120.133456097412,30.273798874795]}"
5025607841,浙大西溪校区,,"{""type"":""Point"",""coordinates"":[120.136904639956,30.2736113616782]}"
5025607840,浙大西溪校区,,"{""type"":""Point"",""coordinates"":[120.137398893026,30.2740894922649]}"
4585099896,八字桥,,"{""type"":""Point"",""coordinates"":[120.142745306271,30.2745299165127]}"
4585099898,八字桥,,"{""type"":""Point"",""coordinates"":[120.143210633588,30.2742466704952]}"
1691932378,八字桥(BRT),,"{""type"":""Point"",""coordinates"":[120.14305854881,30.274467697107]}"
4585099897,八字桥(BRT),,"{""type"":""Point"",""coordinates"":[120.143588914154,30.2743190530803]}"
5025607836,武林门马塍路口,,"{""type"":""Point"",""coordinates"":[120.145885636841,30.2744718088644]}"
4166842110,,,"{""type"":""Point"",""coordinates"":[120.080433936082,30.2991969572827]}"
4166842112,,,"{""type"":""Point"",""coordinates"":[120.084728152635,30.2992061870147]}"
4441574791,浦家桥,,"{""type"":""Point"",""coordinates"":[120.087746761484,30.3037140704499]}"
4166842181,,,"{""type"":""Point"",""coordinates"":[120.085270735067,30.3068001781281]}"
4441574792,章桥头,,"{""type"":""Point"",""coordinates"":[120.087389052338,30.3094456904776]}"
1667043883,古荡新村西,,"{""type"":""Point"",""coordinates"":[120.107723586604,30.2785619136753]}"
1667043869,古荡新村,,"{""type"":""Point"",""coordinates"":[120.111902369643,30.2783720823412]}"
1667044706,古荡新村,,"{""type"":""Point"",""coordinates"":[120.112658751112,30.2786453865936]}"
270413724,,,"{""type"":""Point"",""coordinates"":[120.122443111355,30.2790817564093]}"
270413720,,,"{""type"":""Point"",""coordinates"":[120.127828241989,30.2793688672955]}"
270413708,,,"{""type"":""Point"",""coordinates"":[120.133084284716,30.2797022903399]}"
270413704,,,"{""type"":""Point"",""coordinates"":[120.141406816497,30.2801832615584]}"
270413665,,,"{""type"":""Point"",""coordinates"":[120.144710370955,30.2838076917473]}"
